validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
332.69134521484375,0,2,,,,
,1,4,70.03912353515625,0.269566148519516,69.76954650878906,760.2100219726562
20.74343490600586,1,5,,,,
21.787675857543945,2,8,,,,
,3,9,21.926250457763672,0.12073411047458649,21.80551528930664,213.36959838867188
21.73335838317871,3,11,,,,
,4,14,19.282058715820312,0.06937985867261887,19.212678909301758,70.25775146484375
18.435604095458984,4,14,,,,
16.982080459594727,5,17,,,,
,6,19,16.7318115234375,0.046008601784706116,16.685802459716797,37.2757453918457
16.52370834350586,6,20,,,,
16.628164291381836,7,23,,,,
,8,24,16.565155029296875,0.02904522232711315,16.536109924316406,24.807933807373047
16.54922103881836,8,26,,,,
,9,29,16.361804962158203,0.01826019398868084,16.343544006347656,14.992976188659668
16.31203269958496,9,29,,,,
16.263761520385742,10,32,,,,
,11,34,16.32938575744629,0.01575053483247757,16.313634872436523,10.990906715393066
16.319570541381836,11,35,,,,
16.3939208984375,12,38,,,,
,13,39,16.406187057495117,0.014657348394393921,16.391529083251953,9.02691650390625
16.469497680664062,13,41,,,,
