validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
20.063880920410156,0,2,,,,
,1,4,291.4299011230469,17.33635139465332,274.09356689453125,10331.9873046875
1373.3099365234375,1,5,,,,
163.61337280273438,2,8,,,,
,3,9,170.7781524658203,4.2600297927856445,166.5181121826172,2806.0654296875
16.608327865600586,3,11,,,,
,4,14,6.818785190582275,0.5292317867279053,6.289554595947266,118.85841369628906
4.753579139709473,4,14,,,,
2.7836177349090576,5,17,,,,
,6,19,2.603818893432617,0.019043751060962677,2.58477520942688,11.95522689819336
2.4732775688171387,6,20,,,,
2.3828001022338867,7,23,,,,
,8,24,2.4221224784851074,0.002443209057673812,2.419679641723633,2.5939555168151855
2.349365711212158,8,26,,,,
,9,29,2.31844425201416,0.0006994263385422528,2.3177449703216553,1.1287565231323242
2.3367135524749756,9,29,,,,
2.3304781913757324,10,32,,,,
,11,34,2.3382010459899902,0.0006551825208589435,2.337545871734619,0.7877551913261414
2.3270747661590576,11,35,,,,
2.325380802154541,12,38,,,,
,13,39,2.3165769577026367,0.0003319656243547797,2.3162450790405273,0.5369375944137573
2.3219242095947266,13,41,,,,
,14,44,2.307353973388672,0.0001607554586371407,2.3071932792663574,0.33751824498176575
2.3199779987335205,14,44,,,,
2.3300318717956543,15,47,,,,
,16,49,2.3186252117156982,0.00022716898820362985,2.3183982372283936,0.4295966625213623
2.319657564163208,16,50,,,,
2.320030927658081,17,53,,,,
,18,54,2.3219261169433594,0.00029640275170095265,2.321629524230957,0.4441908001899719
2.315659284591675,18,56,,,,
,19,59,2.3219919204711914,0.0003105750074610114,2.321681499481201,0.4537762403488159
2.3172762393951416,19,59,,,,
2.317786931991577,20,62,,,,
,21,64,2.3148996829986572,0.00011642340541584417,2.3147830963134766,0.24674151837825775
2.318756103515625,21,65,,,,
