validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
145.75721740722656,0,2,,,,
85.3296890258789,1,5,,,,
64.15450286865234,2,8,,,,
47.76304244995117,3,11,,,,
34.613983154296875,4,14,,,,
26.03219985961914,5,17,,,,
,6,19,24.033716201782227,3.4399490356445312,20.593769073486328,239.0978546142578
21.3812255859375,6,20,,,,
19.091449737548828,7,23,,,,
17.96451759338379,8,26,,,,
17.354440689086914,9,29,,,,
17.04264259338379,10,32,,,,
16.88980484008789,11,35,,,,
16.775863647460938,12,38,,,,
,13,39,16.735637664794922,0.2482527792453766,16.487384796142578,18.514202117919922
16.728469848632812,13,41,,,,
16.690814971923828,14,44,,,,
16.66815948486328,15,47,,,,
16.65443992614746,16,50,,,,
16.634498596191406,17,53,,,,
16.628808975219727,18,56,,,,
,19,59,16.612876892089844,0.08911959826946259,16.523757934570312,0.33485642075538635
16.617366790771484,19,59,,,,
16.613033294677734,20,62,,,,
16.598562240600586,21,65,,,,
16.6169490814209,22,68,,,,
16.583009719848633,23,71,,,,
16.584678649902344,24,74,,,,
16.583965301513672,25,77,,,,
,26,79,16.543987274169922,0.04823317006230354,16.495752334594727,0.279099702835083
16.58153533935547,26,80,,,,
16.579580307006836,27,83,,,,
16.578506469726562,28,86,,,,
16.57541847229004,29,89,,,,
16.578842163085938,30,92,,,,
16.569055557250977,31,95,,,,
16.557987213134766,32,98,,,,
,33,99,16.49690818786621,0.030775919556617737,16.46613311767578,0.2230464667081833
16.562728881835938,33,101,,,,
16.565664291381836,34,104,,,,
16.56733512878418,35,107,,,,
