validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
330.6524963378906,0,2,,,,
,1,4,76.80795288085938,0.12394048273563385,76.68401336669922,890.4205322265625
23.793527603149414,1,5,,,,
21.569835662841797,2,8,,,,
,3,9,22.000940322875977,0.06529020518064499,21.935651779174805,311.1816711425781
21.7434024810791,3,11,,,,
,4,14,19.598161697387695,0.038475919514894485,19.55968475341797,94.47600555419922
18.684396743774414,4,14,,,,
17.383346557617188,5,17,,,,
,6,19,17.0130558013916,0.026748649775981903,16.98630714416504,43.119422912597656
16.35811996459961,6,20,,,,
15.595534324645996,7,23,,,,
,8,24,15.61867904663086,0.021052852272987366,15.597625732421875,31.412614822387695
15.276936531066895,8,26,,,,
,9,29,15.311639785766602,0.016116585582494736,15.295522689819336,24.796302795410156
15.20457649230957,9,29,,,,
15.278974533081055,10,32,,,,
,11,34,15.33230209350586,0.012857724912464619,15.31944465637207,19.698991775512695
15.372215270996094,11,35,,,,
15.464189529418945,12,38,,,,
