validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
1.8800263404846191,0,2,,,,
,1,4,2.079587697982788,9.764719288796186e-05,2.0794901847839355,745.0042114257812
0.15825578570365906,1,5,,,,
0.14330360293388367,2,8,,,,
,3,9,0.13930609822273254,5.629136285278946e-05,0.1392498016357422,329.5245666503906
0.1209811121225357,3,11,,,,
,4,14,0.1000065878033638,3.159196421620436e-05,0.09997498989105225,126.18819427490234
0.10809923708438873,4,14,,,,
0.10563889145851135,5,17,,,,
,6,19,0.09230808168649673,2.3337472157436423e-05,0.09228473901748657,52.25311279296875
0.0989653691649437,6,20,,,,
0.09565030783414841,7,23,,,,
,8,24,0.0924927294254303,2.0172401491436176e-05,0.09247255325317383,40.377296447753906
0.09286190569400787,8,26,,,,
,9,29,0.08919316530227661,1.752285061229486e-05,0.08917564898729324,34.49282455444336
0.09118837118148804,9,29,,,,
0.0900176391005516,10,32,,,,
,11,34,0.08818503469228745,1.4780981473450083e-05,0.08817024528980255,28.544591903686523
0.08890633285045624,11,35,,,,
0.08888231962919235,12,38,,,,
,13,39,0.08707956969738007,1.3346868399821687e-05,0.08706622570753098,24.629310607910156
0.08817023038864136,13,41,,,,
,14,44,0.08539320528507233,1.2088926268916111e-05,0.08538112044334412,22.860950469970703
0.08795753866434097,14,44,,,,
0.08852275460958481,15,47,,,,
,16,49,0.08729927241802216,1.1234375051571988e-05,0.08728804439306259,21.171260833740234
0.0886181965470314,16,50,,,,
0.08835310488939285,17,53,,,,
