validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
45.19339370727539,0,2,,,,
56.5698356628418,1,5,,,,
55.483184814453125,2,8,,,,
44.78940963745117,3,11,,,,
33.22816848754883,4,14,,,,
25.068225860595703,5,17,,,,
,6,19,23.060699462890625,0.482435941696167,22.578266143798828,251.20545959472656
20.484554290771484,6,20,,,,
18.31764793395996,7,23,,,,
17.345947265625,8,26,,,,
16.959646224975586,9,29,,,,
16.7772159576416,10,32,,,,
16.660505294799805,11,35,,,,
16.622472763061523,12,38,,,,
,13,39,16.639108657836914,0.04115203768014908,16.59795379638672,19.634479522705078
16.606069564819336,13,41,,,,
16.5911865234375,14,44,,,,
16.571182250976562,15,47,,,,
16.561641693115234,16,50,,,,
16.554819107055664,17,53,,,,
16.558809280395508,18,56,,,,
,19,59,16.583778381347656,0.01696191355586052,16.566816329956055,0.7224786281585693
16.556224822998047,19,59,,,,
16.554319381713867,20,62,,,,
16.557109832763672,21,65,,,,
16.561296463012695,22,68,,,,
16.551013946533203,23,71,,,,
16.562265396118164,24,74,,,,
16.54323959350586,25,77,,,,
,26,79,16.477590560913086,0.009447300806641579,16.468143463134766,0.4609205722808838
16.540637969970703,26,80,,,,
16.56021499633789,27,83,,,,
16.544469833374023,28,86,,,,
16.534164428710938,29,89,,,,
16.552833557128906,30,92,,,,
16.544448852539062,31,95,,,,
16.551950454711914,32,98,,,,
